Year,Month,EDC,price,PTC,markup,CPI,inflation_factor,real_price,real_PTC,real_markup,n_offers,weight,RT_Average,RT_Median,real_RT_Average,real_RT_Median
2017,8,DUQ,8.99,7.5333,1.4567,245.519,1.306599,11.7463,9.843,1.9033,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,11.75,7.5333,4.2167,245.519,1.306599,15.3525,9.843,5.5095,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.99,7.5333,1.4567,245.519,1.306599,11.7463,9.843,1.9033,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,10.5,7.5333,2.9667,245.519,1.306599,13.7193,9.843,3.8762,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.59,7.5333,1.0567,245.519,1.306599,11.2237,9.843,1.3806,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.59,7.5333,1.0567,245.519,1.306599,11.2237,9.843,1.3806,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,6.59,7.5333,-0.9433,245.519,1.306599,8.6105,9.843,-1.2326,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,7.98,7.5333,0.4467,245.519,1.306599,10.4267,9.843,0.5836,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,7.78,7.5333,0.2467,245.519,1.306599,10.1653,9.843,0.3223,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.78,7.5333,1.2467,245.519,1.306599,11.4719,9.843,1.6289,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.18,7.5333,1.6467,245.519,1.306599,11.9946,9.843,2.1515,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,8.78,7.5333,1.2467,245.519,1.306599,11.4719,9.843,1.6289,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,9.58,7.5333,2.0467,245.519,1.306599,12.5172,9.843,2.6742,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,6.55,7.5333,-0.9833,245.519,1.306599,8.5582,9.843,-1.2848,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
2017,8,DUQ,7.99,7.5333,0.4567,245.519,1.306599,10.4397,9.843,0.5967,136,0.0073529411764705,2.736,2.364,3.5749,3.0888
